variant,keypair,sign,verify,algorithm,level
SPHINCS+-SHA2-128s-simple,1063.6224746704102,8090.198993682861,8.198738098144531,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.8667602539062,8090.280771255493,8.119821548461914,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.2437000274658,8090.974807739258,8.17108154296875,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.9501342773438,8088.057041168213,7.789850234985352,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.5294914245605,8089.405298233032,8.240461349487305,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.3158683776855,8088.759660720825,8.79216194152832,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.166856765747,8089.459419250488,8.140802383422852,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4326934814453,8088.454008102417,7.888317108154297,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.6568069458008,8090.586423873901,7.991313934326172,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4820461273193,8089.107990264893,8.139371871948242,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.1140003204346,8089.344263076782,7.630586624145508,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.3033046722412,8088.657855987549,7.990837097167969,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.932014465332,8088.767051696777,8.176565170288086,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.1778240203857,8089.896440505981,7.997751235961914,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.2469654083252,8088.43207359314,7.915735244750977,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.293695449829,8088.468790054321,8.146047592163086,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4112358093262,8088.199138641357,8.104085922241211,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.9942417144775,8089.312553405762,8.033990859985352,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.8455410003662,8090.263605117798,7.886648178100586,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.0286464691162,8090.33989906311,8.303642272949219,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.2200965881348,8089.431285858154,7.994651794433594,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.7538433074951,8088.449001312256,8.03375244140625,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4245872497559,8088.212966918945,7.279157638549805,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.3697509765625,8089.033603668213,8.090496063232422,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.1649494171143,8087.748050689697,8.489131927490234,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.3113384246826,8092.830419540405,8.099555969238281,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1064.2099380493164,8089.10346031189,8.292675018310547,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.3862743377686,8092.137813568115,7.997035980224609,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.8093013763428,8088.666677474976,7.94529914855957,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.056468963623,8089.900732040405,7.990598678588867,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.5039806365967,8088.550567626953,8.327007293701172,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.525915145874,8089.060068130493,8.195877075195312,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.5933876037598,8089.5750522613525,7.851600646972656,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.770055770874,8089.651346206665,8.252620697021484,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.321828842163,8089.7345542907715,7.496356964111328,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.129259109497,8090.1854038238525,7.944822311401367,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.805248260498,8090.109586715698,7.772684097290039,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.6455078125,8087.99409866333,8.708715438842773,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.7240409851074,8088.9952182769775,7.989406585693359,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.2293224334717,8089.401006698608,7.71784782409668,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4651184082031,8089.173078536987,7.385969161987305,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.2166862487793,8088.898420333862,8.016824722290039,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.2209777832031,8090.710401535034,8.34345817565918,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.2784366607666,8088.866710662842,8.317708969116211,sphincs-sha-s,1
